epoch,accuracy,loss,val_accuracy,val_loss
0,0.4644339978694916,1.2184282541275024,0.530259370803833,1.1217145919799805
1,0.6360365152359009,0.8736904859542847,0.5331411957740784,1.1494957208633423
2,0.7174093723297119,0.7142421007156372,0.5504322648048401,1.1377551555633545
3,0.7785773873329163,0.5675077438354492,0.590778112411499,1.175881266593933
4,0.8355937004089355,0.45035868883132935,0.5533141493797302,1.20791757106781
5,0.8654857277870178,0.3705718517303467,0.5561959743499756,1.327864646911621
6,0.8884583711624146,0.3156573474407196,0.5533141493797302,1.5355595350265503
7,0.9070025086402893,0.2648910880088806,0.5331411957740784,1.5733345746994019
8,0.9269305467605591,0.2081964612007141,0.5734870433807373,1.7146910429000854
9,0.9335731863975525,0.19604413211345673,0.5734870433807373,1.6827300786972046
10,0.952117383480072,0.15715496242046356,0.559077799320221,1.7006683349609375
11,0.952117383480072,0.14341522753238678,0.5734870433807373,1.6922348737716675
12,0.9618045687675476,0.12387805432081223,0.5561959743499756,1.8970521688461304
13,0.9590368270874023,0.12472555041313171,0.5706051588058472,2.039949893951416
14,0.9604207277297974,0.11948004364967346,0.5417867302894592,1.968158483505249
15,0.9673401713371277,0.10860898345708847,0.5475504398345947,2.1223011016845703
16,0.9640188217163086,0.10034091025590897,0.5561959743499756,2.172983407974243
17,0.9676169157028198,0.10202781856060028,0.5533141493797302,2.1748485565185547
18,0.9731525182723999,0.08697924762964249,0.5648415088653564,2.2034406661987305
19,0.9706615209579468,0.08462823182344437,0.5648415088653564,2.3951454162597656
20,0.9695543646812439,0.09259974211454391,0.5706051588058472,2.218496084213257
21,0.9687240719795227,0.08946949988603592,0.5417867302894592,2.5885865688323975
22,0.972045361995697,0.07895484566688538,0.5706051588058472,2.362635374069214
23,0.9753667116165161,0.07818086445331573,0.5533141493797302,2.267000675201416
24,0.9761970639228821,0.07553651183843613,0.5331411957740784,2.5159382820129395
