epoch,accuracy,loss,val_accuracy,val_loss
0,0.3448657691478729,1.3400427103042603,0.46109509468078613,1.2775555849075317
1,0.6133407354354858,1.0274664163589478,0.6628242135047913,0.9186475276947021
2,0.7902020215988159,0.5990955233573914,0.6657060384750366,0.8079902529716492
3,0.8405756950378418,0.42377156019210815,0.729106605052948,0.7395899295806885
4,0.8773872256278992,0.3383844494819641,0.7060518860816956,0.7732098698616028
5,0.8962081670761108,0.279131144285202,0.6628242135047913,0.822736918926239
6,0.9233323931694031,0.22821298241615295,0.6916426420211792,0.8721820116043091
7,0.9327428936958313,0.19722315669059753,0.6743515729904175,0.9452398419380188
8,0.9460282325744629,0.16846171021461487,0.680115282535553,0.9639295339584351
9,0.9551619291305542,0.14288850128650665,0.6916426420211792,1.0541644096374512
10,0.9631884694099426,0.13003283739089966,0.6714697480201721,1.0724164247512817
11,0.9654027223587036,0.11899073421955109,0.6685879230499268,1.1613868474960327
12,0.9667866230010986,0.10627575218677521,0.6743515729904175,1.2109131813049316
13,0.9681705236434937,0.10158362984657288,0.6945244669914246,1.1958693265914917
14,0.9701079726219177,0.09991975873708725,0.6714697480201721,1.250058889389038
15,0.9706615209579468,0.09047305583953857,0.6772334575653076,1.2850216627120972
16,0.9723221659660339,0.08457310497760773,0.6916426420211792,1.3417402505874634
17,0.975643515586853,0.07501998543739319,0.6858789920806885,1.428117036819458
18,0.973706066608429,0.07947449386119843,0.6945244669914246,1.363168716430664
19,0.9753667116165161,0.07625463604927063,0.6685879230499268,1.4039629697799683
20,0.9753667116165161,0.07574321329593658,0.6887608170509338,1.4050312042236328
21,0.9767506122589111,0.06889085471630096,0.6916426420211792,1.470871090888977
22,0.975643515586853,0.06728857755661011,0.6974063515663147,1.468783974647522
23,0.975643515586853,0.06774260103702545,0.6829971075057983,1.557361125946045
24,0.9786880612373352,0.06138429418206215,0.6829971075057983,1.5421661138534546
